Rank,NOC,Gold,Silver,Bronze,Total,Gold%,Siver%,Bronze%
1,United States,39,41,33,113,0.345132743,0.362831858,0.292035398
2,China,38,32,19,89,0.426966292,0.359550562,0.213483146
3,Japan,27,14,17,58,0.465517241,0.24137931,0.293103448
4,Great Britain,22,20,22,64,0.34375,0.3125,0.34375
5,ROC,20,28,23,71,0.281690141,0.394366197,0.323943662
6,Australia,17,7,22,46,0.369565217,0.152173913,0.47826087
7,Netherlands,10,12,14,36,0.277777778,0.333333333,0.388888889
8,France,10,12,11,33,0.303030303,0.363636364,0.333333333
9,Germany,10,11,16,37,0.27027027,0.297297297,0.432432432
10,Italy,10,10,20,40,0.25,0.25,0.5
11,Canada,7,7,10,24,0.291666667,0.291666667,0.416666667
12,Brazil,7,6,8,21,0.333333333,0.285714286,0.380952381
13,New Zealand,7,6,7,20,0.35,0.3,0.35
14,Cuba,7,3,5,15,0.466666667,0.2,0.333333333
15,Hungary,6,7,7,20,0.3,0.35,0.35
16,South Korea,6,4,10,20,0.3,0.2,0.5
17,Poland,4,5,5,14,0.285714286,0.357142857,0.357142857
18,Czech Republic,4,4,3,11,0.363636364,0.363636364,0.272727273
19,Kenya,4,4,2,10,0.4,0.4,0.2
20,Norway,4,2,2,8,0.5,0.25,0.25
21,Jamaica,4,1,4,9,0.444444444,0.111111111,0.444444444
22,Spain,3,8,6,17,0.176470588,0.470588235,0.352941176
23,Sweden,3,6,0,9,0.333333333,0.666666667,0
24,Switzerland,3,4,6,13,0.230769231,0.307692308,0.461538462
25,Denmark,3,4,4,11,0.272727273,0.363636364,0.363636364
26,Croatia,3,3,2,8,0.375,0.375,0.25
27,Iran,3,2,2,7,0.428571429,0.285714286,0.285714286
28,Serbia,3,1,5,9,0.333333333,0.111111111,0.555555556
29,Belgium,3,1,3,7,0.428571429,0.142857143,0.428571429
30,Bulgaria,3,1,2,6,0.5,0.166666667,0.333333333
31,Slovenia,3,1,1,5,0.6,0.2,0.2
32,Uzbekistan,3,0,2,5,0.6,0,0.4
33,Georgia,2,5,1,8,0.25,0.625,0.125
34,Chinese Taipei,2,4,6,12,0.166666667,0.333333333,0.5
35,Turkey,2,2,9,13,0.153846154,0.153846154,0.692307692
36,Greece,2,1,1,4,0.5,0.25,0.25
36,Uganda,2,1,1,4,0.5,0.25,0.25
38,Ecuador,2,1,0,3,0.666666667,0.333333333,0
39,Ireland,2,0,2,4,0.5,0,0.5
39,Israel,2,0,2,4,0.5,0,0.5
41,Qatar,2,0,1,3,0.666666667,0,0.333333333
42,Bahamas,2,0,0,2,1,0,0
42,Kosovo,2,0,0,2,1,0,0
44,Ukraine,1,6,12,19,0.052631579,0.315789474,0.631578947
45,Belarus,1,3,3,7,0.142857143,0.428571429,0.428571429
46,Romania,1,3,0,4,0.25,0.75,0
46,Venezuela,1,3,0,4,0.25,0.75,0
48,India,1,2,4,7,0.142857143,0.285714286,0.571428571
49,Hong Kong,1,2,3,6,0.166666667,0.333333333,0.5
50,Philippines,1,2,1,4,0.25,0.5,0.25
50,Slovakia,1,2,1,4,0.25,0.5,0.25
52,South Africa,1,2,0,3,0.333333333,0.666666667,0
53,Austria,1,1,5,7,0.142857143,0.142857143,0.714285714
54,Egypt,1,1,4,6,0.166666667,0.166666667,0.666666667
55,Indonesia,1,1,3,5,0.2,0.2,0.6
56,Ethiopia,1,1,2,4,0.25,0.25,0.5
56,Portugal,1,1,2,4,0.25,0.25,0.5
58,Tunisia,1,1,0,2,0.5,0.5,0
59,Estonia,1,0,1,2,0.5,0,0.5
59,Fiji,1,0,1,2,0.5,0,0.5
59,Latvia,1,0,1,2,0.5,0,0.5
59,Thailand,1,0,1,2,0.5,0,0.5
63,Bermuda,1,0,0,1,1,0,0
63,Morocco,1,0,0,1,1,0,0
63,Puerto Rico,1,0,0,1,1,0,0
66,Colombia,0,4,1,5,0,0.8,0.2
67,Azerbaijan,0,3,4,7,0,0.428571429,0.571428571
68,Dominican Republic,0,3,2,5,0,0.6,0.4
69,Armenia,0,2,2,4,0,0.5,0.5
70,Kyrgyzstan,0,2,1,3,0,0.666666667,0.333333333
71,Mongolia,0,1,3,4,0,0.25,0.75
72,Argentina,0,1,2,3,0,0.333333333,0.666666667
72,San Marino,0,1,2,3,0,0.333333333,0.666666667
74,Jordan,0,1,1,2,0,0.5,0.5
74,Malaysia,0,1,1,2,0,0.5,0.5
74,Nigeria,0,1,1,2,0,0.5,0.5
77,Bahrain,0,1,0,1,0,1,0
77,Lithuania,0,1,0,1,0,1,0
77,Namibia,0,1,0,1,0,1,0
77,North Macedonia,0,1,0,1,0,1,0
77,Saudi Arabia,0,1,0,1,0,1,0
77,Turkmenistan,0,1,0,1,0,1,0
83,Kazakhstan,0,0,8,8,0,0,1
84,Mexico,0,0,4,4,0,0,1
85,Finland,0,0,2,2,0,0,1
86,Botswana,0,0,1,1,0,0,1
86,Burkina Faso,0,0,1,1,0,0,1
86,Ghana,0,0,1,1,0,0,1
86,Grenada,0,0,1,1,0,0,1
86,Ivory Coast,0,0,1,1,0,0,1
86,Kuwait,0,0,1,1,0,0,1
86,Moldova,0,0,1,1,0,0,1
86,Syria,0,0,1,1,0,0,1
